,departement,lieu_id,Fermeture_Estivale,categorie,name_x,close.actif,close.dateDebut,close.dateFin,name_y,Counts
33519,Gironde,4584,Ouvert,404.0,,False,,,Accompagnement social,1
33523,Gironde,4589,Modification,107.0,SANTE,False,,,Suivi grossesse,1
33525,Gironde,4591,Modification,107.0,SANTE,False,,,Suivi grossesse,1
33539,Gironde,4605,Modification,406.0,CONSEIL,False,,,Conseil handicap,1
33578,Gironde,4646,Ouvert,407.0,CONSEIL,False,,,Conseil administratif,1
33579,Gironde,4647,Fermé,804.0,Les causeries,False,,,Activités,1
33586,Gironde,4654,Ouvert,203.0,Formation et emploi,False,,,Accompagnement à l'emploi,1
33597,Val-d'Oise,4669,Ouvert,110.0,,False,,,Infirmerie,1
33607,Hauts-de-Seine,4679,Ouvert,301.0,,False,,,Douche,1
33608,Val-d'Oise,4680,Ouvert,110.0,,False,,,Infirmerie,1
33628,Gironde,4702,Fermé,804.0,Je(u) Partage avec mes enfants,False,,,Activités,1
33629,Gironde,4703,Fermé,404.0,Conseil,False,,,Accompagnement social,1
33632,Gironde,4707,Fermé,103.0,Santé,False,,,Psychologie,1
33638,Gironde,4714,Fermé,501.0,Technologie,False,,,Ordinateur,1
33683,Paris,4770,Ouvert,404.0,Conseil,False,,,Accompagnement social,1
33695,Gironde,4783,Fermé,502.0,TECHNOLOGIE,False,,,Wifi,1
33698,Gironde,4786,Ouvert,503.0,Technologie,False,,,Prise,1
33706,Gironde,4795,Ouvert,201.0,FORMATION_EMPLOI,False,,,Atelier numérique,1
33708,Gironde,4797,Fermé,201.0,FORMATION_EMPLOI,False,,,Atelier numérique,1
33714,Seine-Saint-Denis,4813,Ouvert,407.0,Conseil,False,,,Conseil administratif,1
33727,Paris,4835,Fermé,402.0,CONSEIL,False,,,Permanence juridique,1
33728,Paris,4836,Ouvert,103.0,SANTE,False,,,Psychologie,1
33744,Paris,4855,Ouvert,104.0,,False,,,Soins enfants,1
33771,Paris,4896,Ouvert,801.0,,False,,,Sport,1
33776,Paris,4902,Modification,203.0,FORMATION_EMPLOI,False,,,Accompagnement à l'emploi,1
33779,Loire-Atlantique,4915,Modification,803.0,,True,2021-07-01 00:00:00+00:00,2021-08-31 00:00:00+00:00,Bibliothèque,1
33786,Paris,4925,Ouvert,407.0,Conseil,False,,,Conseil administratif,1
33791,Hauts-de-Seine,4931,Modification,301.0,HYGIENE,False,,,Douche,1
