,departement,bigCategorie,Changement d'horaire,Services fermés,Fermé,Ouvert
390,Paris,Formation,0,0,0,1
391,Paris,Formation,0,0,1,0
392,Paris,Technologie,0,0,0,1
393,Paris,Formation,0,0,0,1
394,Paris,Formation,0,0,0,1
395,Paris,Formation,0,1,1,0
396,Paris,Formation,0,0,0,1
397,Paris,Formation,0,0,1,0
398,Paris,Formation,0,0,1,0
399,Paris,Technologie,0,0,1,0
400,Paris,Formation,0,0,0,1
401,Paris,Formation,0,0,0,1
402,Paris,Conseil,0,0,0,1
403,Paris,Conseil,0,0,0,1
404,Paris,Conseil,0,0,0,1
405,Paris,Accueil,0,0,0,1
406,Paris,Conseil,0,0,0,1
407,Paris,Conseil,0,0,0,1
408,Paris,Conseil,0,0,0,1
409,Paris,Conseil,0,1,1,0
410,Paris,Accueil,1,0,0,0
411,Paris,Matériel,0,0,1,0
412,Paris,Matériel,0,0,0,1
413,Paris,Matériel,0,0,0,1
414,Paris,Matériel,0,0,0,1
415,Paris,Matériel,0,0,0,1
416,Paris,Matériel,0,0,1,0
417,Paris,Matériel,1,0,0,0
418,Paris,Matériel,0,0,1,0
419,Paris,Matériel,0,0,0,1
420,Paris,Matériel,0,0,0,1
421,Paris,Matériel,0,0,1,0
422,Paris,Activités,0,0,0,1
423,Paris,Activités,0,0,0,1
424,Paris,Activités,0,0,0,1
425,Paris,Activités,0,0,0,1
426,Paris,Activités,0,0,0,1
427,Paris,Activités,0,0,0,1
428,Paris,Activités,0,0,0,1
429,Paris,Activités,0,0,0,1
430,Paris,Activités,0,0,0,1
431,Paris,Activités,0,0,0,1
432,Paris,Activités,0,0,0,1
433,Paris,Activités,0,0,0,1
434,Paris,Activités,0,0,0,1
435,Paris,Activités,0,0,0,1
436,Paris,Alimentation,0,0,0,1
437,Paris,Accueil,0,0,0,1
438,Paris,Accueil,0,0,0,1
439,Paris,Accueil,0,0,0,1
440,Paris,Accueil,0,0,0,1
441,Paris,Accueil,0,0,0,1
442,Paris,Santé,0,0,0,1
443,Paris,Accueil,0,0,0,1
444,Paris,Accueil,0,0,0,1
445,Paris,Formation,0,0,1,0
446,Paris,Formation,0,0,0,1
447,Paris,Formation,0,0,0,1
448,Paris,Formation,0,0,0,1
449,Paris,Formation,0,0,0,1
450,Paris,Formation,0,0,0,1
451,Paris,Formation,0,0,0,1
452,Paris,Formation,0,0,0,1
453,Paris,Formation,0,0,0,1
454,Paris,Formation,0,0,0,1
455,Paris,Formation,0,0,0,1
456,Paris,Formation,0,0,0,1
457,Paris,Formation,0,0,0,1
458,Paris,Formation,0,0,0,1
459,Paris,Formation,0,0,1,0
460,Paris,Technologie,0,0,0,1
461,Paris,Formation,0,0,1,0
462,Paris,Formation,0,0,1,0
463,Paris,Santé,0,0,0,1
464,Paris,Santé,0,0,0,1
465,Paris,Activités,0,0,1,0
466,Paris,Santé,0,0,0,1
467,Paris,Santé,0,0,0,1
468,Paris,Santé,0,0,0,1
469,Paris,Santé,0,0,0,1
470,Paris,Santé,0,0,0,1
471,Paris,Santé,0,0,0,1
472,Paris,Santé,0,0,0,1
473,Paris,Santé,0,0,0,1
474,Paris,Santé,0,0,0,1
475,Paris,Santé,0,0,0,1
476,Paris,Santé,0,0,0,1
477,Paris,Santé,0,0,0,1
478,Paris,Santé,0,0,0,1
479,Paris,Santé,0,0,0,1
480,Paris,Santé,0,0,0,1
481,Paris,Santé,0,0,0,1
482,Paris,Santé,0,0,0,1
483,Paris,Santé,0,0,0,1
484,Paris,Santé,0,0,0,1
485,Paris,Santé,0,0,0,1
486,Paris,Santé,0,0,0,1
487,Paris,Santé,0,0,0,1
488,Paris,Santé,0,0,0,1
489,Paris,Santé,0,0,0,1
490,Paris,Santé,0,0,0,1
491,Paris,Conseil,0,0,1,0
492,Paris,Santé,0,0,0,1
493,Paris,Santé,0,0,0,1
494,Paris,Santé,0,0,0,1
495,Paris,Santé,0,0,0,1
496,Paris,Santé,0,0,0,1
497,Paris,Accueil,0,0,1,0
498,Gironde,Santé,0,0,0,1
499,Gironde,Conseil,0,0,0,1
500,Gironde,Santé,0,0,0,1
501,Gironde,Formation,0,0,0,1
502,Gironde,Conseil,0,0,1,0
503,Gironde,Activités,0,0,1,0
504,Gironde,Activités,0,0,1,0
505,Gironde,Activités,0,0,1,0
506,Gironde,Activités,0,0,0,1
507,Gironde,Conseil,0,0,0,1
508,Gironde,Conseil,1,0,0,0
509,Gironde,Conseil,1,0,0,0
510,Gironde,Conseil,1,0,0,0
511,Gironde,Conseil,1,0,0,0
512,Gironde,Conseil,1,0,0,0
513,Gironde,Conseil,0,0,0,1
514,Gironde,Conseil,1,0,0,0
515,Gironde,Conseil,1,0,0,0
516,Gironde,Conseil,1,0,0,0
517,Gironde,Conseil,1,0,0,0
518,Gironde,Conseil,1,0,0,0
519,Gironde,Conseil,1,0,0,0
520,Gironde,Conseil,1,0,0,0
521,Gironde,Conseil,1,0,0,0
522,Gironde,Conseil,1,0,0,0
523,Gironde,Conseil,1,0,0,0
524,Gironde,Conseil,1,0,0,0
525,Gironde,Conseil,0,0,0,1
526,Gironde,Conseil,0,0,0,1
527,Gironde,Conseil,1,0,0,0
528,Gironde,Alimentation,0,0,0,1
529,Gironde,Alimentation,0,0,1,0
530,Gironde,Alimentation,0,0,0,1
531,Gironde,Alimentation,0,0,0,1
532,Gironde,Alimentation,0,0,0,1
533,Gironde,Alimentation,1,0,0,0
534,Gironde,Alimentation,0,0,0,1
535,Gironde,Alimentation,0,0,0,1
536,Gironde,Alimentation,0,0,0,1
537,Gironde,Alimentation,0,0,0,1
538,Gironde,Alimentation,0,0,1,0
539,Gironde,Conseil,0,0,1,0
540,Gironde,Matériel,0,0,0,1
541,Gironde,Alimentation,0,0,0,1
542,Gironde,Conseil,0,0,0,1
543,Gironde,Santé,0,0,0,1
544,Gironde,Santé,0,0,0,1
545,Gironde,Santé,0,0,0,1
546,Gironde,Conseil,0,0,0,1
547,Gironde,Conseil,0,0,0,1
548,Gironde,Conseil,0,0,0,1
549,Gironde,Santé,0,0,0,1
550,Gironde,Santé,0,0,0,1
551,Gironde,Santé,0,0,0,1
552,Gironde,Conseil,0,0,0,1
553,Gironde,Santé,0,0,0,1
554,Gironde,Santé,0,0,1,0
555,Gironde,Conseil,0,0,1,0
556,Gironde,Conseil,0,0,0,1
557,Gironde,Conseil,0,0,0,1
558,Gironde,Alimentation,0,0,1,0
559,Gironde,Santé,0,0,0,1
560,Gironde,Santé,0,0,0,1
561,Gironde,Activités,0,0,0,1
562,Gironde,Formation,0,0,1,0
563,Gironde,Accueil,0,0,0,1
564,Gironde,Santé,0,0,0,1
565,Gironde,Santé,0,0,0,1
566,Gironde,Conseil,0,0,0,1
567,Gironde,Alimentation,0,0,0,1
568,Gironde,Alimentation,0,1,0,1
569,Gironde,Accueil,0,0,0,1
570,Gironde,Conseil,1,0,0,0
571,Gironde,Technologie,0,0,0,1
572,Gironde,Santé,0,0,0,1
573,Gironde,Santé,1,0,0,0
574,Gironde,Conseil,1,0,1,0
575,Gironde,Conseil,0,0,1,0
576,Gironde,Santé,0,0,0,1
577,Gironde,Activités,0,0,1,0
578,Gironde,Conseil,0,0,0,1
579,Gironde,Santé,0,0,0,1
580,Gironde,Formation,0,1,1,0
581,Gironde,Conseil,0,0,0,1
582,Gironde,Santé,0,0,0,1
583,Gironde,Formation,0,0,0,1
584,Gironde,Accueil,0,0,1,0
585,Gironde,Alimentation,0,0,1,0
586,Gironde,Conseil,0,0,0,1
587,Gironde,Accueil,1,0,1,0
588,Gironde,Alimentation,0,0,1,0
589,Gironde,Alimentation,0,0,1,0
590,Gironde,Matériel,0,0,0,1
591,Gironde,Alimentation,0,0,0,1
592,Gironde,Matériel,0,0,1,0
593,Loire-Atlantique,Conseil,0,0,0,1
594,Loire-Atlantique,Accueil,0,0,0,1
595,Loire-Atlantique,Accueil,1,0,0,0
596,Loire-Atlantique,Accueil,0,0,1,0
597,Loire-Atlantique,Hygiène,0,0,0,1
598,Loire-Atlantique,Accueil,0,0,0,1
599,Loire-Atlantique,Accueil,0,0,1,0
600,Loire-Atlantique,Accueil,0,0,0,1
601,Loire-Atlantique,Activités,0,0,0,1
602,Loire-Atlantique,Hygiène,0,0,1,0
603,Loire-Atlantique,Matériel,0,0,0,1
604,Loire-Atlantique,Matériel,0,0,1,0
605,Loire-Atlantique,Matériel,0,1,0,1
606,Loire-Atlantique,Accueil,0,0,0,1
607,Loire-Atlantique,Alimentation,0,0,0,1
608,Loire-Atlantique,Alimentation,0,0,0,1
609,Loire-Atlantique,Alimentation,0,0,0,1
610,Loire-Atlantique,Alimentation,1,0,0,0
611,Loire-Atlantique,Alimentation,0,0,0,1
612,Loire-Atlantique,Formation,1,0,0,0
613,Loire-Atlantique,Accueil,0,0,0,1
614,Loire-Atlantique,Conseil,0,0,0,1
615,Loire-Atlantique,Santé,0,0,0,1
616,Loire-Atlantique,Santé,1,0,0,0
617,Loire-Atlantique,Santé,0,0,0,1
618,Loire-Atlantique,Conseil,0,0,0,1
619,Loire-Atlantique,Santé,0,1,0,1
620,Loire-Atlantique,Santé,0,0,0,1
621,Loire-Atlantique,Santé,1,0,0,0
622,Loire-Atlantique,Santé,0,0,0,1
623,Loire-Atlantique,Santé,0,0,0,1
624,Loire-Atlantique,Santé,0,0,0,1
625,Loire-Atlantique,Matériel,1,0,0,0
626,Loire-Atlantique,Alimentation,0,0,0,1
627,Loire-Atlantique,Activités,1,0,0,0
628,Loire-Atlantique,Activités,1,0,0,0
629,Loire-Atlantique,Activités,0,0,1,0
630,Loire-Atlantique,Activités,1,0,0,0
631,Loire-Atlantique,Activités,1,0,0,0
632,Loire-Atlantique,Activités,1,0,0,0
633,Loire-Atlantique,Activités,1,0,0,0
634,Loire-Atlantique,Activités,1,0,0,0
635,Loire-Atlantique,Activités,0,0,1,0
636,Loire-Atlantique,Activités,1,0,0,0
637,Loire-Atlantique,Activités,0,0,1,0
638,Loire-Atlantique,Activités,1,0,0,0
639,Seine-Saint-Denis,Alimentation,0,0,0,1
640,Seine-Saint-Denis,Alimentation,0,0,0,1
641,Seine-Saint-Denis,Santé,0,0,0,1
642,Gironde,Alimentation,0,0,1,0
643,Seine-et-Marne,Accueil,0,0,0,1
644,Paris,Accueil,1,0,0,0
645,Paris,Matériel,0,0,0,1
646,Paris,Matériel,0,0,1,0
647,Bas-Rhin,Matériel,0,0,0,1
648,Bas-Rhin,Conseil,0,0,0,1
649,Bas-Rhin,Alimentation,0,0,0,1
650,Bas-Rhin,Alimentation,0,1,1,0
651,Bas-Rhin,Accueil,0,0,0,1
652,Bas-Rhin,Accueil,1,0,0,0
653,Bas-Rhin,Alimentation,0,0,0,1
654,Bas-Rhin,Alimentation,0,0,0,1
655,Bas-Rhin,Accueil,0,0,0,1
656,Bas-Rhin,Alimentation,0,0,0,1
657,Bas-Rhin,Conseil,0,0,0,1
658,Bas-Rhin,Alimentation,0,0,0,1
659,Bas-Rhin,Alimentation,0,0,0,1
660,Bas-Rhin,Alimentation,0,0,1,0
661,Bas-Rhin,Accueil,0,0,0,1
662,Bas-Rhin,Conseil,0,0,0,1
663,Bas-Rhin,Formation,0,0,0,1
664,Bas-Rhin,Formation,0,0,0,1
665,Bas-Rhin,Formation,0,0,0,1
666,Bas-Rhin,Activités,0,0,1,0
667,Bas-Rhin,Formation,0,0,0,1
668,Bas-Rhin,Alimentation,0,0,1,0
669,Paris,Matériel,0,0,0,1
670,Bas-Rhin,Hygiène,0,0,0,1
671,Bas-Rhin,Hygiène,0,0,0,1
672,Bas-Rhin,Matériel,0,0,0,1
673,Bas-Rhin,Hygiène,0,0,0,1
674,Bas-Rhin,Accueil,0,0,0,1
675,Bas-Rhin,Alimentation,0,0,0,1
676,Paris,Santé,0,0,1,0
677,Bas-Rhin,Accueil,0,0,0,1
678,Bas-Rhin,Conseil,0,0,1,0
679,Gironde,Accueil,0,0,0,1
680,Bas-Rhin,Accueil,0,0,0,1
681,Bas-Rhin,Accueil,0,0,0,1
682,Bas-Rhin,Accueil,1,0,0,0
683,Bas-Rhin,Accueil,0,0,1,0
684,Bas-Rhin,Accueil,1,0,0,0
685,Bas-Rhin,Conseil,0,0,1,0
686,Bas-Rhin,Accueil,0,0,0,1
687,Bas-Rhin,Conseil,0,0,0,1
688,Bas-Rhin,Conseil,0,0,0,1
689,Bas-Rhin,Alimentation,0,0,0,1
690,Bas-Rhin,Conseil,0,0,1,0
691,Bas-Rhin,Conseil,0,0,1,0
692,Bas-Rhin,Alimentation,0,0,1,0
693,Bas-Rhin,Accueil,0,0,0,1
694,Bas-Rhin,Accueil,0,0,0,1
695,Bas-Rhin,Accueil,0,0,0,1
696,Bas-Rhin,Accueil,0,0,0,1
697,Bas-Rhin,Accueil,0,0,0,1
698,Bas-Rhin,Accueil,0,0,0,1
699,Bas-Rhin,Accueil,0,0,0,1
700,Bas-Rhin,Formation,0,0,0,1
701,Bas-Rhin,Accueil,0,0,0,1
702,Bas-Rhin,Accueil,0,0,0,1
